,Date,Temp,Humidity,WindSpeed,Precip
200,1/15/17,28,55,7,0
201,1/16/17,42,82,10,0
202,1/17/17,48,83,8,0
203,1/18/17,40,79,10,0
204,1/19/17,49,87,17,0.13
205,1/20/17,36,45,18,0
206,1/21/17,36,71,14,1.09
207,1/22/17,42,79,19,0.31
208,1/23/17,34,76,6,0.12
209,1/24/17,40,96,9,0.32
210,1/25/17,40,78,11,0.08
211,1/26/17,34,86,11,0.41
212,1/27/17,32,87,8,0.07
213,1/28/17,43,95,11,0.73
214,1/29/17,38,62,20,0
215,1/30/17,24,43,17,0
216,1/31/17,32,85,8,0.6
217,2/1/17,32,63,18,0
218,2/2/17,28,47,19,0
219,2/3/17,26,58,6,0
220,2/4/17,38,90,10,0.34
221,2/5/17,36,60,11,0
222,2/6/17,30,65,7,0
223,2/7/17,42,69,11,0.26
224,2/8/17,37,62,10,0
225,2/9/17,48,68,10,0
226,2/10/17,34,69,10,0.12
227,2/11/17,28,56,15,0
228,2/12/17,28,59,11,0
229,2/13/17,45,78,8,0
230,2/14/17,50,84,5,0
231,2/15/17,52,87,9,0.03
232,2/16/17,48,58,16,0.35
233,2/17/17,32,54,19,0.06
234,2/18/17,34,62,12,0
235,2/19/17,45,82,7,0.04
236,2/20/17,51,84,9,0.56
237,2/21/17,34,62,14,0
238,2/22/17,42,84,12,0.95
239,2/23/17,44,70,15,0
240,2/24/17,40,71,8,0
241,2/25/17,46,86,11,0.05
242,2/26/17,36,57,21,0
243,2/27/17,30,65,12,0
244,2/28/17,32,93,12,0.6
245,3/1/17,30,71,23,0.12
246,3/2/17,30,54,19,0
247,3/3/17,32,52,12,0
248,3/4/17,29,69,8,0
249,3/5/17,44,84,9,0
250,3/6/17,50,70,10,0
251,3/7/17,34,51,20,0
252,3/8/17,36,39,15,0
253,3/9/17,45,41,7,0
254,3/10/17,40,72,9,0
255,3/11/17,37,86,17,0.37
256,3/12/17,36,56,25,0
257,3/13/17,38,38,29,0
258,3/14/17,39,53,17,0
259,3/15/17,35,60,14,0
260,3/16/17,29,42,22,0
261,3/17/17,38,58,17,0
262,3/18/17,32,81,12,0.34
263,3/19/17,23,49,21,0
264,3/20/17,24,59,7,0
265,3/21/17,40,82,14,0
266,3/22/17,48,85,11,0
267,3/23/17,52,91,13,0.39
268,3/24/17,47,75,11,0
269,3/25/17,44,86,6,0.06
270,3/26/17,52,95,5,0.01
271,3/27/17,54,91,7,0
272,3/28/17,58,55,17,0
273,3/29/17,55,59,13,0
274,3/30/17,59,67,10,0
275,3/31/17,42,86,12,0.08
276,4/1/17,42,76,9,0.07
277,4/2/17,44,79,11,0
278,4/3/17,46,72,9,0
279,4/4/17,50,63,13,0
280,4/5/17,47,56,10,0.05
281,4/6/17,48,81,28,1.28
282,4/7/17,52,59,22,0
283,4/8/17,48,72,13,0.02
284,4/9/17,46,55,18,0
285,4/10/17,50,49,12,0
286,4/11/17,50,51,8,0
287,4/12/17,51,64,6,0
288,4/13/17,56,87,6,0.4
289,4/14/17,64,79,8,0
290,4/15/17,60,81,10,0.17
291,4/16/17,48,57,18,0
292,4/17/17,47,45,16,0
293,4/18/17,46,83,12,0.18
294,4/19/17,50,69,17,0.29
295,4/20/17,54,53,14,0
296,4/21/17,57,67,13,0
297,4/22/17,54,86,11,0.55
298,4/23/17,56,82,14,0.06
299,4/24/17,54,54,15,0
300,4/25/17,46,50,14,0
301,4/26/17,52,79,15,0
302,4/27/17,66,66,12,0
303,4/28/17,56,43,14,0
304,4/29/17,47,55,11,0
305,4/30/17,56,71,15,0
306,5/1/17,58,86,6,0
307,5/2/17,59,92,17,0.69
308,5/3/17,64,83,10,0.92
309,5/4/17,64,77,5,0
310,5/5/17,70,75,10,0
311,5/6/17,74,74,10,0.1
312,5/7/17,70,74,14,0.35
313,5/8/17,60,67,7,0
314,5/9/17,58,72,10,0
315,5/10/17,55,87,8,0.41
316,5/11/17,54,66,14,0
317,5/12/17,56,68,11,0
318,5/13/17,58,73,6,0
319,5/14/17,58,81,11,0.27
320,5/15/17,60,75,9,0
321,5/16/17,56,79,7,0
322,5/17/17,60,89,7,0
323,5/18/17,60,91,9,0
324,5/19/17,74,69,13,0
325,5/20/17,60,88,10,0.44
